Categoria administrativa:Despesa pessoal:Receitas:Despesa interna
Privada sem fins lucrativos:16.673583782686773:16.995003427814694:15.647600292833753
Privada sem fins lucrativos:16.725247608977874:17.174797409810985:16.27712347046695
Privada sem fins lucrativos:16.69937735328149:17.178483888014323:16.237458736345086
Privada sem fins lucrativos:16.755410405579426:17.175612406656278:16.236163081726136
Privada sem fins lucrativos:17.36905087818788:17.729001842742537:16.190282835723334
Privada sem fins lucrativos:17.452798593519223:17.81426663932657:16.342904124320313
Privada sem fins lucrativos:17.59608247902541:17.905754474017368:16.419956554265493
Privada sem fins lucrativos:17.518588074127912:17.880003912025053:16.564594478371465
Privada sem fins lucrativos:17.901557106872758:18.367401241938687:17.35814361415333
Privada sem fins lucrativos:18.001679425322507:18.374507770005824:17.50189062646461
Privada sem fins lucrativos:17.88317446445966:18.302191691624856:17.453101319785333
Privada sem fins lucrativos:17.8017201919955:18.145715247881725:17.441268392794274
Privada com fins lucrativos:13.137025599741742:14.077508132132172:13.071517140966217
Privada com fins lucrativos:13.297105449001517:14.201260146182298:13.162348471421032
Privada sem fins lucrativos:18.23656982596611:18.823443705281367:17.827196591790553
Privada sem fins lucrativos:18.260832367117082:18.833417899777277:17.83092532560637
Privada sem fins lucrativos:18.24306198747781:18.749472610969995:17.76963850661393
Privada sem fins lucrativos:18.23298255264911:18.737693162770082:17.780662517954436
Privada sem fins lucrativos:18.117507672481832:18.463799149110198:17.163839329641966
Privada sem fins lucrativos:18.242905310781296:18.553909553028102:17.148033000093758
Privada sem fins lucrativos:18.309341388264436:18.635917080278027:17.296143657272633
Privada sem fins lucrativos:18.375747314889757:18.72453252971111:17.39013131700616
Pública Estadual:20.8079428875984:21.083071105901478:19.628678076987594
Pública Estadual:20.807888702128096:21.099942954055035:19.746120897840605
Pública Estadual:20.859392954385477:21.26231768906385:20.136473655181973
Pública Estadual:20.820460882910286:21.306260806100124:20.31266896181721
Pública Estadual:19.18290340208062:19.444616193307894:17.98093807038075
Pública Estadual:18.975577611274925:19.44140590676023:18.55415910557077
Pública Estadual:19.053920510159855:19.554783037925432:18.730054533833677
Pública Estadual:19.09241943399972:19.607863657681317:18.50910174485521
Pública Federal:1.0986122886681098:17.248137952197354:17.195862564277416
Pública Federal:1.0986122886681098:17.248137958657743:17.195862574488057
Pública Federal:1.0986122886681098:17.471372189023477:17.465492065910063
Pública Federal:1.0986122886681098:17.525528672464972:17.504601031062137
